name,code,version,regref,deadline,rmk,url,url_a,
Australia,AUS,0,Civil Aviation Order 20.18 ,2013-12-12,all IFR. VFR at or above FL290 foreign registered airframes exempted until 06.06.2020 per Instrument number CASA 113/16 AUS registered private VFR below FL290 required from 01.01.2020,https://www.legislation.gov.au/Details/F2017C01115,https://www.casa.gov.au/files/casa16113pdf
Canada,CAN,Regulatory activity ongoing,NAV Canada AIP PART 2 ENROUTE (ENR), Section 1.6.3,2021-02-25,currently not mandated but required to receive surveillance based separation services in Hudson Bay area, change in ADS-B requirements towards RTCA/DO-260B announced per NAV CANADA NOTICE OF CHANGE CANADIAN ADS-B OUT PERFORMANCE REQUIREMENTS MANDATE for February 25, 2021,https://www.navcanada.ca/EN/products-and-services/Documents/AIP/Next/part_2_enr/2enr_eng.pdf,https://www.navcanada.ca/EN/products-and-services/Service%20Project%20Announcements/Notice%20of%20Change-ADS-B%20Mandate-EN.pdf
China,CHN,Regulatory activity ongoing,,,ADS-B requirements may apply to Chinese operators,,
Colombia,COL,2,RAC 4,2020-01-01,,http://www.aerocivil.gov.co/normatividad/VERSION%20DIC%2031%202016/RAC%20%204%20-%20Normas%20de%20Aeronavegabilidad%20y%20Operaci%C3%B3n%20aeronaves.pdf,
European Union,EU,2,EC IR 1207/2011,2020-06-07,2011/1207 is amended by 1028/2014 and 2017/386 to introduce the latest compliance dates,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2011:305:0035:0052:EN:PDF,
EEA,EEA,2,EC IR 1207/2011,2020-06-07,2011/1207 is amended by 1028/2014 and 2017/386 to introduce the latest compliance dates,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2011:305:0035:0052:EN:PDF,
Fiji,FJI,2,FAN 01/13,,Fiji registered aircraft and Fiji domiciled operators only. V2 required since 2018-12-31 with an exemption for V0 equipped by that date,http://www.caaf.org.fj/index.php?option=com_jdownloads&Itemid=62&task=finish&cid=1172&catid=243,
French Polynesia,PYF,0,JORF no 0247 21 octobre 2017 texte no 39,2019-01-01,FL 195 and above only,https://www.legifrance.gouv.fr/affichTexte.do,jsessionid=AF6D3E013AE4486674B836C15E44EE81.tplgfr43s_1?cidTexte=JORFTEXT000035840707&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000035840300,
Hong Kong,HKG,0,AIP GEN1.5-4,effective,HKG FIR FL 290  and above  only,https://www.ais.gov.hk/HKAIP/AIP/GEN/HK_GEN1.5.pdf,
India,IND,0,AIP Supplement 148/2018,2019-01-01,designated routes at FL290 and above,https://aim-india.aai.aero/sites/default/files/aip_supplements/AIPS_2018_148.pdf,
Indonesia,IDN,0,AIP SUPPLEMENT 18 / 17,2018-01-01,Jakarta FIR and Ujung Pandang FIR only,http://www.aim-jakarta.co.id/,https://ops.group/blog/wp-content/uploads/2018/02/indon_1817.pdf,
Malaysia,MYS,0,AIC 03/2017,2020-01-01,,http://aip.dca.gov.my/aip/eAIP/2017-09-07/html/eAIC/WM-eAIC-2017-03-en-MS.html,
Mexico,MEX,2,PROY-NOM-91/2-SCT3-2014,2020-01-01,,http://dof.gob.mx/normasOficiales/5615/sct2a11_C/sct2a11_C.html,
New Zealand,NZL,2,Notice of Requirement NTC 91.258 Revision 01, General Operating and Flight Rules 91.255,2018-12-31,FL 245 and above only, RTCA/DO-260 by 31.12.2018, retrofit or new deliveries after 31.12.2018 to be equipped with RTCA/DO-260B,https://www.caa.govt.nz/assets/legacy/rules/notices/Notice-NTC-091-258.pdf,https://www.caa.govt.nz/assets/legacy/rules/Rule_Consolidations/Part_091_Consolidation.pdf
Saudi Arabia,SAU,Regulatory activity ongoing,,,Home Carriers already mandated per GACA Part 91.303 to carry RTCA/DO260B compliant equipment,https://gaca.gov.sa/scs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-Disposition&blobheadervalue1=inline&blobkey=id&blobtable=MungoBlobs&blobwhere=1442848764989&ssbinary=true,
Seychelles,SYC,2,AIC 01/2017, 09 AUG 2017,2015-01-08,new on SEY register 08.01.2015 only retrofit for SEY registered prior to 07.12.2020,http://www.scaa.sc/files/AIC%2001%202017.pdf,
Singapore,SGP,0,AIP AMDT 03/2018,2013-12-13,designated routes > FL290 only,https://www.caas.gov.sg/docs/default-source/pdf/amdtc665f6bb3903666590f0ff000087c682.pdf,
South Africa,ZAF,2,AIC Series D 023/2017,2020-04-01,all IFR,http://www.caa.co.za/Aeronautical%20Information%20Circulars/023-2017.pdf,
Sri Lanka,LKA,0,AIC A02/16,2020-01-01,Colombo TMA,https://www.airport.lk/aasl/AIS/PDF/AIC-A02-16%20FINAL.pdf,
Taiwan,TWN,0,AIP SUP 06/16, 20 SEP 2016,2019-12-31,routes B576 or B591 at or above FL290 within Taipei FIR,,
United Arab. Emirates,ARE,2,CAR?OPS 1.867 ADS?B,2020-01-01,IFR flights only,https://www.gcaa.gov.ae/en/epublication/admin/Publication%20History/Civil%20Aviation%20Regulations%20(CARs)/CAR%20PART%20IV%20-%20OPERATIONAL%20REGULATIONS/CAR-OPS%201%20-%20COMMERCIAL%20AND%20PRIVATE%20AIR%20TRANSPORTATION-AEROPLANES%20-Issue%2004-rev01.pdf,
United States,USA,2,FAR Part 91Sec. 91.225,2020-01-01,SA-ON and SA-AWARE GNS Systems allowed with GNS availability prediction until 31.12.2024,http://rgl.faa.gov/Regulatory_and_Guidance_Library/rgFAR.nsf/0/00960eb5897eed7c8625775800671304!OpenDocument,
Vietnam,VNM,0,AIP SUP A09/13,effective,designated routes at FL290 and above only,https://vnaic.vn/images/stories/vnaic.vn/SanPhamDichVu/AIP-SUP/esup-13-a09.pdf,